version,2.2.0
info,balls_per_over,6
info,team,Khulna Tigers
info,team,Cumilla Warriors
info,gender,male
info,season,2019/20
info,date,2020/01/10
info,event,Bangladesh Premier League
info,match_number,40
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Cumilla Warriors
info,toss_decision,field
info,player_of_match,Mushfiqur Rahim
info,umpire,Gazi Sohel
info,umpire,RMPJ Rambukwella
info,reserve_umpire,Mahfuzur Rahman
info,tv_umpire,Tanvir Ahmed
info,match_referee,Mujibul Haque
info,winner,Khulna Tigers
info,winner_runs,92
info,player,Khulna Tigers,Nazmul Hossain Shanto
info,player,Khulna Tigers,Mehedi Hasan Miraz
info,player,Khulna Tigers,RR Rossouw
info,player,Khulna Tigers,Mushfiqur Rahim
info,player,Khulna Tigers,Najibullah Zadran
info,player,Khulna Tigers,Shamsur Rahman
info,player,Khulna Tigers,R Frylinck
info,player,Khulna Tigers,Mohammad Amir
info,player,Khulna Tigers,Shafiul Islam
info,player,Khulna Tigers,Shohidul Islam
info,player,Khulna Tigers,Aminul Islam Biplob
info,player,Cumilla Warriors,S van Zyl
info,player,Cumilla Warriors,Sabbir Rahman
info,player,Cumilla Warriors,WU Tharanga
info,player,Cumilla Warriors,DJ Malan
info,player,Cumilla Warriors,Soumya Sarkar
info,player,Cumilla Warriors,Yasir Ali Chowdhury
info,player,Cumilla Warriors,Fardeen Hasan
info,player,Cumilla Warriors,Abu Hider
info,player,Cumilla Warriors,Mujeeb Ur Rahman
info,player,Cumilla Warriors,Sumon Khan
info,player,Cumilla Warriors,Ifran Hossain
info,registry,people,Abu Hider,31803fac
info,registry,people,Aminul Islam,f8ce577b
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,Fardeen Hasan,23667d99
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Ifran Hossain,9ff33bef
info,registry,people,Mahfuzur Rahman,3275b68b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Mujibul Haque,e6c09bda
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,R Frylinck,8b248d88
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S van Zyl,f4dfcbb4
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Shafiul Islam,1a8eebbe
info,registry,people,Shamsur Rahman,02789d88
info,registry,people,Shohidul Islam,607ed7c2
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Sumon Khan,a84ccd7d
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,WU Tharanga,7ed9fd56
info,registry,people,Yasir Ali Chowdhury,5791b840
