match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1299204,2022,2022-09-03,"Lord's, London",1,0.1,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,L Wood,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,0.2,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,L Wood,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,0.3,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,L Wood,4,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,0.4,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,L Wood,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,0.5,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,L Wood,4,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,1.1,Manchester Originals,Trent Rockets,PD Salt,LJ Evans,SJ Cook,1,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,1.2,Manchester Originals,Trent Rockets,LJ Evans,PD Salt,SJ Cook,4,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,1.3,Manchester Originals,Trent Rockets,LJ Evans,PD Salt,SJ Cook,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,1.4,Manchester Originals,Trent Rockets,LJ Evans,PD Salt,SJ Cook,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,1.5,Manchester Originals,Trent Rockets,LJ Evans,PD Salt,SJ Cook,0,0,,,,,,lbw,LJ Evans,,
1299204,2022,2022-09-03,"Lord's, London",1,2.1,Manchester Originals,Trent Rockets,PD Salt,WL Madsen,L Wood,1,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,2.2,Manchester Originals,Trent Rockets,WL Madsen,PD Salt,L Wood,0,0,,,,,,,,,
1299204,2022,2022-09-03,"Lord's, London",1,2.3,Manchester Originals,Trent Rockets,WL Madsen,PD Salt,L Wood,1,0,,,,,,,,,
