version,2.2.0
info,balls_per_over,6
info,team,Ghana
info,team,Rwanda
info,gender,male
info,season,2021
info,date,2021/08/18
info,event,Ghana tour of Rwanda
info,match_number,1
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Ghana
info,toss_decision,bat
info,umpire,EH Dusabemungu
info,umpire,Itangishaka Olivier
info,reserve_umpire,Gasana Christian
info,winner,Rwanda
info,winner_wickets,1
info,player,Ghana,JK Vifah
info,player,Ghana,Amoluk Singh
info,player,Ghana,SK Awiah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,Devender Singh
info,player,Ghana,MK Anafie
info,player,Ghana,KS Bagabena
info,player,Ghana,TK Joseph
info,player,Ghana,G Bakiweyem
info,player,Ghana,DK Anefie
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,M Akayezu
info,player,Rwanda,Bosco Tuyizere
info,player,Rwanda,C Rububagumya
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,K Irakoze
info,player,Rwanda,W Niyitanga
info,player,Rwanda,V Mitari
info,registry,people,Amoluk Singh,266473e2
info,registry,people,Bosco Tuyizere,3c370b92
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,DK Anefie,f98c24ec
info,registry,people,Devender Singh,68e21fb1
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,EH Dusabemungu,ba3b4b09
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,JK Vifah,a1448a10
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,MK Anafie,6949f713
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Bakum,c74c583b
info,registry,people,SK Awiah,bc3fc527
info,registry,people,TK Joseph,4fafd79a
info,registry,people,V Mitari,3a82673c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
