match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.1,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.2,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.3,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.4,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.5,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,4,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,0.6,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,4,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.1,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,4,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.2,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.3,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,4,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.4,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.5,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,6,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,1.6,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Mohammad Sami,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.1,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.2,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,6,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.3,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.4,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.5,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,2.6,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.1,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.2,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.3,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,6,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.4,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.5,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,6,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,3.6,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.1,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,MN Samuels,0,2,2,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.2,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,MN Samuels,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.3,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,MN Samuels,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.4,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,MN Samuels,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.5,Barisal Burners,Duronto Rajshahi,Ahmed Shehzad,CH Gayle,MN Samuels,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.6,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,MN Samuels,0,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,4.7,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,MN Samuels,1,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,5.1,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,4,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,5.2,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,6,0,,,,,,,,,
551048,2011/12,2012-02-11,"Shere Bangla National Stadium, Mirpur",1,5.3,Barisal Burners,Duronto Rajshahi,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,,,,
