version,2.1.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,male
info,season,2007
info,date,2007/07/01
info,event,NatWest Series
info,match_number,1
info,venue,Lord's
info,city,London
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,FH Edwards
info,umpire,BG Jerling
info,umpire,NJ Llong
info,reserve_umpire,TE Jesty
info,tv_umpire,PJ Hartley
info,match_referee,MJ Procter
info,winner,England
info,winner_runs,79
info,player,England,AN Cook
info,player,England,MJ Prior
info,player,England,IR Bell
info,player,England,KP Pietersen
info,player,England,OA Shah
info,player,England,PD Collingwood
info,player,England,AD Mascarenhas
info,player,England,LE Plunkett
info,player,England,SCJ Broad
info,player,England,MS Panesar
info,player,England,JM Anderson
info,player,West Indies,CH Gayle
info,player,West Indies,DS Smith
info,player,West Indies,RS Morton
info,player,West Indies,MN Samuels
info,player,West Indies,S Chanderpaul
info,player,West Indies,DJ Bravo
info,player,West Indies,D Ramdin
info,player,West Indies,DR Smith
info,player,West Indies,DBL Powell
info,player,West Indies,R Rampaul
info,player,West Indies,FH Edwards
info,registry,people,AD Mascarenhas,3edb58fc
info,registry,people,AN Cook,f41598c1
info,registry,people,BG Jerling,26457e41
info,registry,people,CH Gayle,db584dad
info,registry,people,D Ramdin,d1523761
info,registry,people,DBL Powell,83904270
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DR Smith,35205dfc
info,registry,people,DS Smith,85ad2217
info,registry,people,FH Edwards,a7c226e1
info,registry,people,IR Bell,33155d1b
info,registry,people,JM Anderson,d12143bf
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,LE Plunkett,9a963804
info,registry,people,MJ Prior,1200550f
info,registry,people,MJ Procter,32e65048
info,registry,people,MN Samuels,f846de6a
info,registry,people,MS Panesar,5a37ec26
info,registry,people,NJ Llong,573fb985
info,registry,people,OA Shah,7bf96684
info,registry,people,PD Collingwood,a386e91b
info,registry,people,PJ Hartley,17c7ff26
info,registry,people,R Rampaul,d68e7f48
info,registry,people,RS Morton,2f8a9682
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,SCJ Broad,eba6a852
info,registry,people,TE Jesty,a6e8a769
