match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.1,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.2,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,DP Vijaykumar,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,B Chipli,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.4,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,B Chipli,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,B Chipli,DP Vijaykumar,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,0.6,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.1,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,B Chipli,RP Singh,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.2,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,RP Singh,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,B Chipli,RP Singh,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.4,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,RP Singh,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.5,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,RP Singh,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,1.6,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,RP Singh,0,0,,,,,,bowled,B Chipli,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.1,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.2,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.4,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,2.6,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,DP Vijaykumar,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.1,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,RP Singh,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.2,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,RP Singh,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,RP Singh,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.4,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,RP Singh,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.5,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,RP Singh,0,1,1,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.6,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,RP Singh,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,3.7,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,RP Singh,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.1,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.2,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Styris,0,1,1,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.3,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.4,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.6,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,4.7,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,2,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.1,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,Shahid Afridi,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.2,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,Shahid Afridi,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,Shahid Afridi,4,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.4,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,Shahid Afridi,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,Shahid Afridi,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,5.6,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,Shahid Afridi,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.1,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.2,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,2,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.4,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Styris,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,6.6,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Styris,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.1,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,PP Ojha,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.2,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,PP Ojha,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.3,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,PP Ojha,0,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.4,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,PP Ojha,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.5,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,PP Ojha,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,7.6,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,PP Ojha,2,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,8.1,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Bangar,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,8.2,Royal Challengers Bangalore,Deccan Chargers,V Kohli,W Jaffer,SB Bangar,1,0,,,,,,,,,
336034,2007/08,2008-05-03,M Chinnaswamy Stadium,1,8.3,Royal Challengers Bangalore,Deccan Chargers,W Jaffer,V Kohli,SB Bangar,1,0,,,,,,,,,
