version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Singapore
info,gender,female
info,season,2022
info,date,2022/07/09
info,event,Saudari Cup
info,match_number,2
info,venue,"Indian Association Ground, Singapore"
info,city,Singapore
info,toss_winner,Singapore
info,toss_decision,field
info,player_of_match,Siow Tzin Yee
info,umpire,Foyes Ahmed
info,umpire,Pramesh Parab
info,reserve_umpire,Ravi Putcha
info,match_referee,Sarika Prasad
info,winner,Malaysia
info,winner_runs,75
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Wan Julia
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Sasha Azmi
info,player,Malaysia,J Intan
info,player,Malaysia,Nik Nur Atiela
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Zumika Azmi
info,player,Singapore,RR Seth
info,player,Singapore,CH Abeyratne
info,player,Singapore,Shafina Mahesh
info,player,Singapore,Riyaa Bhasin
info,player,Singapore,Ada Bhasin
info,player,Singapore,Vinu Kumar
info,player,Singapore,GK Diviya
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,H Dhavina
info,player,Singapore,Zay Hua Tan
info,player,Singapore,JS Pooranakaran
info,registry,people,Ada Bhasin,b1c113d7
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,CH Abeyratne,ef423744
info,registry,people,Foyes Ahmed,465cdd1d
info,registry,people,GK Diviya,992979fa
info,registry,people,H Dhavina,cd12f384
info,registry,people,J Intan,2dfdd316
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,Pramesh Parab,ef69619a
info,registry,people,RR Seth,7ccc0a38
info,registry,people,Ravi Putcha,ffecc5bc
info,registry,people,Riyaa Bhasin,3ff26cea
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sasha Azmi,9e4f6851
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,Vinu Kumar,3775b9f9
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Zay Hua Tan,b0576916
info,registry,people,Zumika Azmi,d35c1fc7
