version,2.2.0
info,balls_per_over,6
info,team,Germany
info,team,France
info,gender,male
info,season,2021
info,date,2021/08/07
info,event,Germany T20 Tri-Series
info,match_number,4
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,France
info,toss_decision,field
info,player_of_match,VB Chikkannaiah
info,umpire,M Jameson
info,umpire,Vinay Malhotra
info,reserve_umpire,Rizwan Akram
info,winner,Germany
info,winner_runs,48
info,player,Germany,VB Chikkannaiah
info,player,Germany,Abdul-Shakoor Rahimzei
info,player,Germany,Talha Khan
info,player,Germany,H Singh
info,player,Germany,V Ganesan
info,player,Germany,SVE Bharathi
info,player,Germany,Ghulam Ahmadi
info,player,Germany,Azmat Ali
info,player,Germany,H Srinivasan
info,player,Germany,Sahir Naqash
info,player,Germany,Sajid Liaqat
info,player,France,U Shahid
info,player,France,S Santhirakumaran
info,player,France,Virk Ali
info,player,France,Usman Khan
info,player,France,L Canessane
info,player,France,Noman Amjad
info,player,France,Jubaid Ahamed
info,player,France,HA Jackson
info,player,France,Rahmatullah Mangal
info,player,France,Dawood Ahmadzai
info,player,France,Ibrahim Jabarkhel
info,registry,people,Abdul-Shakoor Rahimzei,e45810ed
info,registry,people,Azmat Ali,4121a79a
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Singh,8209da53
info,registry,people,H Srinivasan,300bdcbb
info,registry,people,HA Jackson,ee40679e
info,registry,people,Ibrahim Jabarkhel,c311564c
info,registry,people,Jubaid Ahamed,ea5e0599
info,registry,people,L Canessane,72a4c3b2
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Noman Amjad,c079c66a
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Santhirakumaran,67721a32
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Sajid Liaqat,b1b99a1a
info,registry,people,Talha Khan,8e5a1a7a
info,registry,people,U Shahid,2a853aa5
info,registry,people,Usman Khan,e8a552ef
info,registry,people,V Ganesan,baa7dd37
info,registry,people,VB Chikkannaiah,8e81b773
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Virk Ali,f7f7bee0
