version,2.1.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Zimbabwe
info,gender,male
info,season,2019
info,date,2019/09/14
info,event,Bangladesh Twenty20 Tri-Series
info,match_number,2
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,Najibullah Zadran
info,umpire,Sharfuddoula
info,umpire,Gazi Sohel
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,Masudur Rahman
info,match_referee,BC Broad
info,winner,Afghanistan
info,winner_runs,28
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Hazratullah
info,player,Afghanistan,Najeeb Tarakai
info,player,Afghanistan,Asghar Stanikzai
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,CT Mutombodzi
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,N Madziva
info,player,Zimbabwe,KM Jarvis
info,player,Zimbabwe,A Ndlovu
info,player,Zimbabwe,TL Chatara
info,registry,people,A Ndlovu,3abe1ef6
info,registry,people,Asghar Stanikzai,88679525
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BRM Taylor,53597be1
info,registry,people,CR Ervine,c96311d4
info,registry,people,CT Mutombodzi,26f12506
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,H Masakadza,31fbf891
info,registry,people,Hazratullah,5ea51c25
info,registry,people,KM Jarvis,59792462
info,registry,people,Karim Janat,62175638
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,N Madziva,4a36c370
info,registry,people,Najeeb Tarakai,2683e28b
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,RP Burl,b08252b8
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SC Williams,afe57f7a
info,registry,people,Sharfuddoula,63896abb
info,registry,people,TL Chatara,5bbabe59
info,registry,people,Tanvir Ahmed,ea2df1f1
