match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.1,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.2,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,1,,,,1,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.3,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Mohammed Shami,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.4,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.5,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,0.6,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.1,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.2,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.3,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.4,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.5,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,1.6,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.1,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Mohammed Shami,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.2,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.3,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.4,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.5,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,6,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,2.6,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Mohammed Shami,3,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.1,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.2,Rajasthan Royals,Gujarat Titans,JC Buttler,YBK Jaiswal,Yash Dayal,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.3,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.4,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,2,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.5,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,6,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,3.6,Rajasthan Royals,Gujarat Titans,YBK Jaiswal,JC Buttler,Yash Dayal,0,0,,,,,,caught,YBK Jaiswal,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.1,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.2,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.3,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,LH Ferguson,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.4,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,LH Ferguson,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.5,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,4.6,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.1,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.2,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.3,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.4,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.5,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,5.6,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.1,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,LH Ferguson,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.2,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,LH Ferguson,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.3,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.4,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.5,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,6.6,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,LH Ferguson,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.1,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.2,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.3,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.4,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.5,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,7.6,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.1,Rajasthan Royals,Gujarat Titans,JC Buttler,SV Samson,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.2,Rajasthan Royals,Gujarat Titans,SV Samson,JC Buttler,HH Pandya,0,0,,,,,,caught,SV Samson,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.3,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.4,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.5,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,8.6,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.1,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.2,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,2,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.3,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.4,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.5,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,9.6,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Mohammed Shami,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.1,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,HH Pandya,2,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.2,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.3,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.4,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.5,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,10.6,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,HH Pandya,0,1,,,,1,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.1,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.2,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.3,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.4,Rajasthan Royals,Gujarat Titans,JC Buttler,D Padikkal,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.5,Rajasthan Royals,Gujarat Titans,D Padikkal,JC Buttler,Rashid Khan,0,0,,,,,,caught,D Padikkal,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,11.6,Rajasthan Royals,Gujarat Titans,SO Hetmyer,JC Buttler,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.1,Rajasthan Royals,Gujarat Titans,JC Buttler,SO Hetmyer,HH Pandya,0,0,,,,,,caught,JC Buttler,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.2,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.3,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.4,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.5,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,12.6,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.1,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.2,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.3,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.4,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.5,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,Rashid Khan,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,13.6,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,Rashid Khan,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.1,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.2,Rajasthan Royals,Gujarat Titans,R Ashwin,SO Hetmyer,HH Pandya,1,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.3,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.4,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,0,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.5,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,4,0,,,,,,,,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,14.6,Rajasthan Royals,Gujarat Titans,SO Hetmyer,R Ashwin,HH Pandya,0,0,,,,,,caught and bowled,SO Hetmyer,,
1312200,2022,2022-05-29,"Narendra Modi Stadium, Ahmedabad",1,15.1,Rajasthan Royals,Gujarat Titans,R Ashwin,R Parag,R Sai Kishore,1,0,,,,,,,,,
