version,2.1.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2011/12
info,date,2011/10/25
info,event,England in India ODI Series
info,match_number,5
info,venue,Eden Gardens
info,city,Kolkata
info,toss_winner,England
info,toss_decision,field
info,player_of_match,RA Jadeja
info,umpire,S Asnani
info,umpire,BF Bowden
info,reserve_umpire,VA Kulkarni
info,tv_umpire,S Ravi
info,match_referee,RS Mahanama
info,winner,India
info,winner_runs,95
info,player,England,C Kieswetter
info,player,England,AN Cook
info,player,England,IJL Trott
info,player,England,IR Bell
info,player,England,RS Bopara
info,player,England,JM Bairstow
info,player,England,SR Patel
info,player,England,TT Bresnan
info,player,England,GP Swann
info,player,England,SC Meaker
info,player,England,ST Finn
info,player,India,AM Rahane
info,player,India,G Gambhir
info,player,India,V Kohli
info,player,India,MK Tiwary
info,player,India,SK Raina
info,player,India,MS Dhoni
info,player,India,RA Jadeja
info,player,India,R Ashwin
info,player,India,P Kumar
info,player,India,R Vinay Kumar
info,player,India,VR Aaron
info,registry,people,AM Rahane,29e95537
info,registry,people,AN Cook,f41598c1
info,registry,people,BF Bowden,efc0a862
info,registry,people,C Kieswetter,1e960f2a
info,registry,people,G Gambhir,bb345e0b
info,registry,people,GP Swann,221ad9d9
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,JM Bairstow,abb83e27
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,P Kumar,e938e1bc
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Vinay Kumar,41eb4a4f
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,RS Mahanama,57910393
info,registry,people,S Asnani,b04524bc
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SC Meaker,eb9cb105
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SR Patel,18fac429
info,registry,people,ST Finn,ccdd8308
info,registry,people,TT Bresnan,58043739
info,registry,people,V Kohli,ba607b88
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,VR Aaron,0a3d54b9
