version,2.2.0
info,balls_per_over,6
info,team,Serbia
info,team,Bulgaria
info,gender,male
info,season,2022
info,date,2022/06/25
info,event,Sofia Twenty20
info,match_number,2
info,venue,"National Sports Academy, Sofia"
info,city,Sofia
info,toss_winner,Serbia
info,toss_decision,bat
info,player_of_match,IA De Silva
info,winner,Bulgaria
info,winner_wickets,5
info,player,Serbia,WAE Burton
info,player,Serbia,A Dizija
info,player,Serbia,LA Dunbar
info,player,Serbia,RL Vitas
info,player,Serbia,A Mene-Ejegi
info,player,Serbia,ML Kostic
info,player,Serbia,NR Johns-Wickberg
info,player,Serbia,N Zimonjic
info,player,Serbia,V Zimonjic
info,player,Serbia,S Tosic
info,player,Serbia,M Sarenac
info,player,Bulgaria,Fayaz Mohammad
info,player,Bulgaria,IA De Silva
info,player,Bulgaria,Saim Hussain
info,player,Bulgaria,KC D'Souza
info,player,Bulgaria,P Mishra
info,player,Bulgaria,Omar Rassol
info,player,Bulgaria,M Kadyan
info,player,Bulgaria,Ahsan Khan
info,player,Bulgaria,DV Varghese
info,player,Bulgaria,Sulaiman Ali
info,player,Bulgaria,Asad Ali Rehemtulla
info,registry,people,A Dizija,6483c062
info,registry,people,A Mene-Ejegi,e4f13acd
info,registry,people,Ahsan Khan,4c72b407
info,registry,people,Asad Ali Rehemtulla,c122fe73
info,registry,people,DV Varghese,26f98ea3
info,registry,people,Fayaz Mohammad,67fedcb4
info,registry,people,IA De Silva,58973aaf
info,registry,people,KC D'Souza,2687fff2
info,registry,people,LA Dunbar,f50433e9
info,registry,people,M Kadyan,c7aae1f0
info,registry,people,M Sarenac,f5ba4611
info,registry,people,ML Kostic,79e23cc5
info,registry,people,N Zimonjic,638f451b
info,registry,people,NR Johns-Wickberg,3924b2ee
info,registry,people,Omar Rassol,6caae2dc
info,registry,people,P Mishra,3fa5672e
info,registry,people,RL Vitas,869f61bc
info,registry,people,S Tosic,1c40f69f
info,registry,people,Saim Hussain,d300d274
info,registry,people,Sulaiman Ali,13bf1d91
info,registry,people,V Zimonjic,7f784eb8
info,registry,people,WAE Burton,b0358c6d
