version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,South Africa
info,gender,male
info,season,2021
info,date,2021/04/12
info,event,Pakistan tour of South Africa
info,match_number,2
info,venue,"The Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,GF Linde
info,umpire,AT Holdstock
info,umpire,BP Jele
info,reserve_umpire,A Paleker
info,tv_umpire,S George
info,match_referee,AJ Pycroft
info,winner,South Africa
info,winner_wickets,6
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Sharjeel Khan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Haider Ali
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Hasan Ali
info,player,Pakistan,Mohammad Nawaz (3)
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Usman Qadir
info,player,Pakistan,Mohammad Hasnain
info,player,South Africa,JN Malan
info,player,South Africa,AK Markram
info,player,South Africa,WJ Lubbe
info,player,South Africa,H Klaasen
info,player,South Africa,PJ van Biljon
info,player,South Africa,GF Linde
info,player,South Africa,AL Phehlukwayo
info,player,South Africa,SSB Magala
info,player,South Africa,BE Hendricks
info,player,South Africa,LB Williams
info,player,South Africa,T Shamsi
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AK Markram,6a26221c
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BE Hendricks,b56dc5f7
info,registry,people,BP Jele,7bb1331e
info,registry,people,Babar Azam,8a75e999
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,GF Linde,e5437608
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Hasan Ali,2911de16
info,registry,people,JN Malan,f76d7466
info,registry,people,LB Williams,a1d95bd8
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Hasnain,8596fe80
info,registry,people,Mohammad Nawaz (3),3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,PJ van Biljon,4025c262
info,registry,people,S George,6d9e5a54
info,registry,people,SSB Magala,8361e524
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sharjeel Khan,193ef196
info,registry,people,T Shamsi,a03bba42
info,registry,people,Usman Qadir,33742f04
info,registry,people,WJ Lubbe,10f42013
