version,2.1.0
info,balls_per_over,6
info,team,Namibia
info,team,Botswana
info,gender,male
info,season,2019
info,date,2019/08/20
info,event,Botswana tour of Namibia
info,match_number,2
info,venue,United Cricket Club Ground
info,city,Windhoek
info,toss_winner,Botswana
info,toss_decision,field
info,player_of_match,JP Kotze
info,umpire,A Louw
info,umpire,Claus Schumacher
info,reserve_umpire,Willem Prinsloo
info,winner,Namibia
info,winner_runs,124
info,player,Namibia,SJ Baard
info,player,Namibia,N Davin
info,player,Namibia,MG Erasmus
info,player,Namibia,JP Kotze
info,player,Namibia,CG Williams
info,player,Namibia,ZE Green
info,player,Namibia,JN Frylinck
info,player,Namibia,HN Ya France
info,player,Namibia,Z Groenewald
info,player,Namibia,T Lungameni
info,player,Namibia,B Shikongo
info,player,Botswana,T Perera
info,player,Botswana,K Mothlhanka
info,player,Botswana,H Pragji
info,player,Botswana,R Nehonde
info,player,Botswana,V Mbazo
info,player,Botswana,P Silas
info,player,Botswana,A Rangaswamy
info,player,Botswana,D Maisuria
info,player,Botswana,D Kegasitswe
info,player,Botswana,Ameer Saiyed
info,player,Botswana,M Mooketsi
info,registry,people,A Louw,5eecae5d
info,registry,people,A Rangaswamy,08df0bd3
info,registry,people,Ameer Saiyed,2f22325f
info,registry,people,B Shikongo,c26cd57a
info,registry,people,CG Williams,e16e7347
info,registry,people,Claus Schumacher,85645e62
info,registry,people,D Kegasitswe,3676b91f
info,registry,people,D Maisuria,a96b36af
info,registry,people,H Pragji,e28327c6
info,registry,people,HN Ya France,915264c2
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JP Kotze,9f308dfc
info,registry,people,K Mothlhanka,1a37008a
info,registry,people,M Mooketsi,008a024c
info,registry,people,MG Erasmus,95a5e066
info,registry,people,N Davin,72e361fe
info,registry,people,P Silas,9f2e1944
info,registry,people,R Nehonde,4393e047
info,registry,people,SJ Baard,e8511411
info,registry,people,T Lungameni,1688f2dc
info,registry,people,T Perera,456397e5
info,registry,people,V Mbazo,a2317d14
info,registry,people,Willem Prinsloo,e2dae8f4
info,registry,people,Z Groenewald,017faef2
info,registry,people,ZE Green,8716233e
