match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.1,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,R Dravid,SR Watson,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.2,Royal Challengers Bangalore,Rajasthan Royals,R Dravid,S Chanderpaul,SR Watson,0,0,,,,,,caught,R Dravid,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.3,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.4,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.5,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,0.6,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.1,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,S Chanderpaul,Sohail Tanvir,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.2,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,S Chanderpaul,Sohail Tanvir,0,1,,,,1,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.3,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,Sohail Tanvir,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.4,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,Sohail Tanvir,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.5,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,S Chanderpaul,Sohail Tanvir,0,1,1,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.6,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,S Chanderpaul,Sohail Tanvir,6,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,1.7,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,S Chanderpaul,Sohail Tanvir,6,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.1,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.2,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,LRPL Taylor,SR Watson,0,0,,,,,,caught,S Chanderpaul,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.3,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.4,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SR Watson,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.5,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,2.6,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.1,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.2,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.3,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.4,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.5,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,3.6,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,Sohail Tanvir,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.1,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SR Watson,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.2,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SR Watson,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.3,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SR Watson,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.4,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.5,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SR Watson,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,4.6,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SR Watson,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.1,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,MM Patel,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.2,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,MM Patel,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.3,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.4,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,MM Patel,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.5,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,MM Patel,6,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,5.6,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,MM Patel,4,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.1,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SK Trivedi,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.2,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,JH Kallis,SK Trivedi,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.3,Royal Challengers Bangalore,Rajasthan Royals,JH Kallis,LRPL Taylor,SK Trivedi,0,0,,,,,,caught,JH Kallis,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.4,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,SK Trivedi,2,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.5,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,SK Trivedi,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.6,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,SK Trivedi,0,1,1,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.7,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,SK Trivedi,0,1,1,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,6.8,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,SK Trivedi,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.1,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,LRPL Taylor,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.2,Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,V Kohli,MM Patel,0,0,,,,,,caught,LRPL Taylor,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.3,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.4,Royal Challengers Bangalore,Rajasthan Royals,MV Boucher,V Kohli,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.5,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,7.6,Royal Challengers Bangalore,Rajasthan Royals,MV Boucher,V Kohli,MM Patel,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.1,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,SK Trivedi,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.2,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,SK Trivedi,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.3,Royal Challengers Bangalore,Rajasthan Royals,MV Boucher,V Kohli,SK Trivedi,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.4,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,SK Trivedi,6,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.5,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,SK Trivedi,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,8.6,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,SK Trivedi,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,9.1,Royal Challengers Bangalore,Rajasthan Royals,MV Boucher,V Kohli,MM Patel,1,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,9.2,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,MM Patel,0,0,,,,,,,,,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,1,9.3,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,MV Boucher,MM Patel,0,0,,,,,,,,,
