version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,male
info,season,2005
info,date,2005/06/23
info,event,NatWest Challenge
info,match_number,5
info,venue,Riverside Ground
info,city,Chester-le-Street
info,toss_winner,England
info,toss_decision,field
info,player_of_match,A Symonds
info,umpire,MR Benson
info,umpire,Aleem Dar
info,tv_umpire,JW Lloyds
info,match_referee,JJ Crowe
info,winner,Australia
info,winner_runs,57
info,player,Australia,AC Gilchrist
info,player,Australia,ML Hayden
info,player,Australia,RT Ponting
info,player,Australia,DR Martyn
info,player,Australia,A Symonds
info,player,Australia,MEK Hussey
info,player,Australia,SR Watson
info,player,Australia,GB Hogg
info,player,Australia,JN Gillespie
info,player,Australia,B Lee
info,player,Australia,GD McGrath
info,player,England,ME Trescothick
info,player,England,AJ Strauss
info,player,England,VS Solanki
info,player,England,PD Collingwood
info,player,England,A Flintoff
info,player,England,KP Pietersen
info,player,England,GO Jones
info,player,England,AF Giles
info,player,England,CT Tremlett
info,player,England,D Gough
info,player,England,SJ Harmison
info,registry,people,A Flintoff,ddc0828d
info,registry,people,A Symonds,bd77eb62
info,registry,people,AC Gilchrist,2b6e6dec
info,registry,people,AF Giles,a4af4849
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,Aleem Dar,f02778d1
info,registry,people,B Lee,dd09ff8e
info,registry,people,CT Tremlett,a72b14ff
info,registry,people,D Gough,fcbf5a30
info,registry,people,DR Martyn,69762509
info,registry,people,GB Hogg,f708a0bc
info,registry,people,GD McGrath,ee7d0c82
info,registry,people,GO Jones,2e929b99
info,registry,people,JJ Crowe,2e760301
info,registry,people,JN Gillespie,74234d66
info,registry,people,JW Lloyds,112b8472
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,ME Trescothick,ea42ddb9
info,registry,people,MEK Hussey,48fd7349
info,registry,people,ML Hayden,d8699ab7
info,registry,people,MR Benson,790e14d3
info,registry,people,PD Collingwood,a386e91b
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SJ Harmison,c16d2e28
info,registry,people,SR Watson,4329fbb5
info,registry,people,VS Solanki,7ee2ce62
