version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,female
info,season,2017/18
info,date,2017/11/14
info,event,New Zealand Women tour of United Arab Emirates
info,match_number,4
info,venue,Sharjah Cricket Stadium
info,city,
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,SFM Devine
info,umpire,Ahmed Shahab
info,umpire,Khalid Mahmood
info,reserve_umpire,Rashid Riaz
info,match_referee,Mohammed Anees
info,winner,New Zealand
info,winner_wickets,7
info,player,Pakistan,Nahida Khan
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Javeria Khan
info,player,Pakistan,Bismah Maroof
info,player,Pakistan,Iram Javed
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Aiman Anwer
info,player,Pakistan,Sana Mir
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Anam Amin
info,player,New Zealand,SFM Devine
info,player,New Zealand,AE Satterthwaite
info,player,New Zealand,ML Green
info,player,New Zealand,SW Bates
info,player,New Zealand,KJ Martin
info,player,New Zealand,KT Perkins
info,player,New Zealand,AM Peterson
info,player,New Zealand,AC Kerr
info,player,New Zealand,HM Rowe
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,HR Huddleston
info,registry,people,AC Kerr,7673c908
info,registry,people,AE Satterthwaite,72b7ed1e
info,registry,people,AM Peterson,ae2c396f
info,registry,people,Ahmed Shahab,86a1918c
info,registry,people,Aiman Anwer,c736a96b
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Anam Amin,06653fcc
info,registry,people,Bismah Maroof,3b770527
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,HR Huddleston,8d6b36e3
info,registry,people,Iram Javed,dc596fac
info,registry,people,Javeria Khan,d921449d
info,registry,people,KJ Martin,cf75a839
info,registry,people,KT Perkins,78ad3258
info,registry,people,Khalid Mahmood,0b06b921
info,registry,people,LMM Tahuhu,60471339
info,registry,people,ML Green,865eae1f
info,registry,people,Mohammed Anees,0d4da5c5
info,registry,people,Nahida Khan,3e7c0b1e
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Sana Mir,b287e7b1
info,registry,people,Sidra Ameen,72c9ad99
