match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.1,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.2,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,1,1,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.3,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.4,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,2,2,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.5,Titans,Lions,AK Markram,JD Vandiar,GC Viljoen,1,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.6,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,4,,,4,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.7,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,1,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,0.8,Titans,Lions,AK Markram,JD Vandiar,GC Viljoen,0,4,,,4,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.1,Titans,Lions,JD Vandiar,AK Markram,D Pretorius,3,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.2,Titans,Lions,AK Markram,JD Vandiar,D Pretorius,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.3,Titans,Lions,AK Markram,JD Vandiar,D Pretorius,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.4,Titans,Lions,AK Markram,JD Vandiar,D Pretorius,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.5,Titans,Lions,AK Markram,JD Vandiar,D Pretorius,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,1.6,Titans,Lions,AK Markram,JD Vandiar,D Pretorius,0,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,2.1,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,4,0,,,,,,,,,
1003891,2016/17,2016-12-07,"SuperSport Park, Centurion",1,2.2,Titans,Lions,JD Vandiar,AK Markram,GC Viljoen,0,0,,,,,,,,,
